"model","dist","n","gaussian","historic","modified"
1,"std",100,0.0558,0.0642,0.0644
1,"std",250,0.0488,0.0556,0.058
1,"std",500,0.0398,0.0442,0.0466
1,"std",1000,0.0436,0.0498,0.0528
1,"std",2500,0.0414,0.0468,0.0498
1,"std",5000,0.045,0.0518,0.053
1,"std",10000,0.0456,0.0534,0.0572
2,"std",100,0.057,0.0684,0.0656
2,"std",250,0.0474,0.0538,0.0534
2,"std",500,0.0494,0.0556,0.0588
2,"std",1000,0.04,0.0476,0.0496
2,"std",2500,0.0448,0.0502,0.0558
2,"std",5000,0.0436,0.0504,0.0562
2,"std",10000,0.0412,0.0484,0.054
3,"std",100,0.053,0.0598,0.0606
3,"std",250,0.0486,0.0532,0.0556
3,"std",500,0.0514,0.0568,0.0584
3,"std",1000,0.0474,0.0548,0.0564
3,"std",2500,0.0422,0.0482,0.0524
3,"std",5000,0.0436,0.047,0.0504
3,"std",10000,0.0408,0.0496,0.052
1,"snorm",100,0.0094,0.0626,0.0274
1,"snorm",250,0.0016,0.0604,0.0228
1,"snorm",500,8e-04,0.0542,0.018
1,"snorm",1000,0,0.043,0.0134
1,"snorm",2500,0,0.0518,0.0126
1,"snorm",5000,0,0.0506,0.0146
1,"snorm",10000,0,0.0504,0.0128
2,"snorm",100,0.0114,0.0698,0.036
2,"snorm",250,0.0022,0.055,0.0232
2,"snorm",500,4e-04,0.0564,0.0208
2,"snorm",1000,0,0.0502,0.0144
2,"snorm",2500,0,0.0474,0.0128
2,"snorm",5000,0,0.052,0.0126
2,"snorm",10000,0,0.051,0.0132
3,"snorm",100,0.0044,0.0664,0.0298
3,"snorm",250,0.0024,0.0564,0.0232
3,"snorm",500,6e-04,0.048,0.0172
3,"snorm",1000,2e-04,0.0526,0.016
3,"snorm",2500,0,0.0526,0.012
3,"snorm",5000,0,0.049,0.0138
3,"snorm",10000,0,0.0508,0.0146
