"model","dist","n","true_VaR"
1,"std",100,0.0546
1,"std",250,0.0492
1,"std",500,0.0482
1,"std",1000,0.0508
1,"std",2500,0.0538
1,"std",5000,0.049
1,"std",10000,0.0528
2,"std",100,0.0598
2,"std",250,0.0544
2,"std",500,0.054
2,"std",1000,0.0474
2,"std",2500,0.0492
2,"std",5000,0.0516
2,"std",10000,0.047
3,"std",100,0.0504
3,"std",250,0.0572
3,"std",500,0.0524
3,"std",1000,0.0488
3,"std",2500,0.0488
3,"std",5000,0.0492
3,"std",10000,0.0502
1,"snorm",100,0.0624
1,"snorm",250,0.0562
1,"snorm",500,0.0544
1,"snorm",1000,0.0476
1,"snorm",2500,0.049
1,"snorm",5000,0.0506
1,"snorm",10000,0.048
2,"snorm",100,0.0612
2,"snorm",250,0.0498
2,"snorm",500,0.0502
2,"snorm",1000,0.0508
2,"snorm",2500,0.0496
2,"snorm",5000,0.0544
2,"snorm",10000,0.0496
3,"snorm",100,0.066
3,"snorm",250,0.0528
3,"snorm",500,0.0514
3,"snorm",1000,0.0492
3,"snorm",2500,0.0502
3,"snorm",5000,0.0492
3,"snorm",10000,0.0484
